threshold,messagesShown,truePositives,falsePositives,trueNegatives,falseNegatives,precision,recall,falsePositiveRate,falseNegativeRate
55,1777,1427,350,2927,256,0.803038829487901,0.8478906714200832,0.10680500457735734,0.15210932857991682
60,1638,1369,269,3008,314,0.8357753357753358,0.8134284016636958,0.0820872749465975,0.1865715983363042
65,1538,1324,214,3063,359,0.8608582574772432,0.7866904337492573,0.06530363137015563,0.2133095662507427
70,1463,1272,191,3086,411,0.8694463431305537,0.7557932263814616,0.058285016783643576,0.24420677361853832
75,1397,1215,182,3095,468,0.8697208303507517,0.7219251336898396,0.055538602380225816,0.27807486631016043
80,1308,1171,137,3140,512,0.8952599388379205,0.6957813428401664,0.041806530363137015,0.30421865715983365
